Year,State,SA3 code,SA3 name,SA3 group,Service,Per cent of people who had the service (%),Services per 100 people,Medicare benefits per 100 people ($)
2017-18,NAT,0,National,National,GP Telehealth (patient-end),0.1,0.18,$15 
2017-18,NAT,0,National,National,Other Non-referred Medical Practitioner,8.86,20.23,$515 
2017-18,NAT,0,National,National,Asthma Cycle of Care PIP,0.27,0.27,$15 
2017-18,NAT,0,National,National,Cervical Smear PIP,0.28,0.28,$17 
2017-18,NAT,0,National,National,Diabetes Mellitus Annual Cycle of Care PIP,1.11,1.11,$64 
2017-18,NAT,0,National,National,GP subtotal - PIP,1.64,1.66,$96 
2017-18,NAT,0,National,National,GP attendances (total),82.24,420.07,"$19,728 "
2017-18,NAT,0,National,National,GP attendances (total),83.38,516.74,"$25,335 "
2017-18,NAT,0,National,National,GP attendances (total),91.93,665.67,"$33,670 "
2017-18,NAT,0,National,National,GP attendances (total),100,"1,196.13","$64,895 "
2017-18,NAT,0,National,National,GP attendances (total),87.81,627.12,"$31,686 "
2017-18,NAT,0,National,National,GP attendances (total),91.23,710.73,"$36,216 "
2017-18,NAT,0,National,National,GP attendances (total),84.34,542.18,"$27,085 "
2017-18,NAT,0,National,National,Midwifery,0.08,0.34,$24 
2017-18,NAT,0,National,National,Nurse Practitioners,0.8,1.9,$61 
2017-18,NAT,0,National,National,Practice Nurse/Aboriginal Health Worker,5.56,10.34,$138 
2017-18,NAT,0,National,National,Nursing and Aboriginal Health Workers (total),2.08,3.57,$85 
2017-18,NAT,0,National,National,Nursing and Aboriginal Health Workers (total),3.3,6.52,$182 
2017-18,NAT,0,National,National,Nursing and Aboriginal Health Workers (total),7.23,13.31,$211 
2017-18,NAT,0,National,National,Nursing and Aboriginal Health Workers (total),19.36,41.19,$608 
2017-18,NAT,0,National,National,Nursing and Aboriginal Health Workers (total),6.35,12.59,$224 
2017-18,NAT,0,National,National,Nursing and Aboriginal Health Workers (total),7.19,14.56,$277 
2017-18,NAT,0,National,National,Nursing and Aboriginal Health Workers (total),5.49,10.59,$169 
2017-18,NAT,0,National,National,Early Intervention Services for Children,0.05,0.05,$12 
2017-18,NAT,0,National,National,Psychiatry,1.58,7.7,"$1,249 "
2017-18,NAT,0,National,National,Specialist attendances (total),17.48,39.69,"$4,086 "
2017-18,NAT,0,National,National,Specialist attendances (total),22.58,58.64,"$5,298 "
2017-18,NAT,0,National,National,Specialist attendances (total),37.85,114.23,"$9,436 "
2017-18,NAT,0,National,National,Specialist attendances (total),63.66,248.77,"$19,443 "
2017-18,NAT,0,National,National,Specialist attendances (total),31.02,95.52,"$8,105 "
2017-18,NAT,0,National,National,Specialist attendances (total),33.73,105.15,"$8,903 "
2017-18,NAT,0,National,National,Specialist attendances (total),28.27,85.73,"$7,295 "
2017-18,,1,Major cities - higher SES,Major cities - higher SES,Allied Health subtotal - Mental Health Care,5.44,26.4,"$2,906 "
2017-18,,1,Major cities - higher SES,Major cities - higher SES,Clinical Psychologist,2.69,12.87,1678
2017-18,,1,Major cities - higher SES,Major cities - higher SES,Other Allied Mental Health,0.31,1.45,$124 
2017-18,,1,Major cities - higher SES,Major cities - higher SES,Other Psychologist,2.75,12.08,"$1,105 "
2017-18,,1,Major cities - higher SES,Major cities - higher SES,Allied Health subtotal - Optometry,28.88,37.35,"$1,730 "
2017-18,,1,Major cities - higher SES,Major cities - higher SES,Allied Health subtotal - Other,3.44,10.28,$568 
2017-18,,1,Major cities - higher SES,Major cities - higher SES,Audiology,0.04,0.1,$5 
2017-18,,1,Major cities - higher SES,Major cities - higher SES,Diabetes Education,0.09,0.16,$9 
2017-18,,1,Major cities - higher SES,Major cities - higher SES,Dietetics,0.73,1.33,$73 
2017-18,,1,Major cities - higher SES,Major cities - higher SES,Occupational Therapy,0.1,0.33,$23 
2017-18,,1,Major cities - higher SES,Major cities - higher SES,Other Allied Health,0.01,0.02,$2 
2017-18,,1,Major cities - higher SES,Major cities - higher SES,Podiatry,2.45,7.59,$407 
2017-18,,1,Major cities - higher SES,Major cities - higher SES,Speech Pathology,0.19,0.75,$49 
2017-18,,1,Major cities - higher SES,Major cities - higher SES,Allied Health subtotal - Physical Health Care,2.96,10.29,$556 
2017-18,,1,Major cities - higher SES,Major cities - higher SES,Chiropractic Services,0.3,1.1,$59 
2017-18,,1,Major cities - higher SES,Major cities - higher SES,Exercise Physiology,0.44,1.16,$59 
2017-18,,1,Major cities - higher SES,Major cities - higher SES,Osteopathy,0.14,0.47,$26 
2017-18,,1,Major cities - higher SES,Major cities - higher SES,Physiotherapy,2.22,7.56,$412 
2017-18,,1,Major cities - higher SES,Major cities - higher SES,Allied Health attendances (total),21.57,52.87,"$4,127 "
2017-18,,1,Major cities - higher SES,Major cities - higher SES,Allied Health attendances (total),27.25,67.14,"$5,287 "
2017-18,,1,Major cities - higher SES,Major cities - higher SES,Allied Health attendances (total),48.27,103.22,"$6,613 "
2017-18,,1,Major cities - higher SES,Major cities - higher SES,Allied Health attendances (total),61.89,163.15,"$9,096 "
2017-18,,1,Major cities - higher SES,Major cities - higher SES,Allied Health attendances (total),35.16,84.33,"$5,760 "
2017-18,,1,Major cities - higher SES,Major cities - higher SES,Allied Health attendances (total),39.85,99.97,"$6,924 "
2017-18,,1,Major cities - higher SES,Major cities - higher SES,Allied Health attendances (total),30.32,68.17,"$4,558 "
2017-18,,1,Major cities - higher SES,Major cities - higher SES,Diagnostic Imaging (total),20.24,36.07,"$3,389 "
2017-18,,1,Major cities - higher SES,Major cities - higher SES,Diagnostic Imaging (total),30.72,71.02,"$8,315 "
2017-18,,1,Major cities - higher SES,Major cities - higher SES,Diagnostic Imaging (total),45.58,125.39,"$17,687 "
2017-18,,1,Major cities - higher SES,Major cities - higher SES,Diagnostic Imaging (total),63.07,213.83,"$33,988 "
2017-18,,1,Major cities - higher SES,Major cities - higher SES,Diagnostic Imaging (total),35.39,92.5,"$12,502 "
2017-18,,1,Major cities - higher SES,Major cities - higher SES,Diagnostic Imaging (total),40.4,113.78,"$14,260 "
2017-18,,1,Major cities - higher SES,Major cities - higher SES,Diagnostic Imaging (total),30.21,70.53,"$10,687 "
2017-18,,1,Major cities - higher SES,Major cities - higher SES,GP After-hours (non-urgent),18.86,35.54,"$2,019 "
2017-18,,1,Major cities - higher SES,Major cities - higher SES,GP After-hours (urgent),3.71,5.24,$665 
2017-18,,1,Major cities - higher SES,Major cities - higher SES,GP subtotal - After-hours,21.11,40.78,"$2,684 "
2017-18,,1,Major cities - higher SES,Major cities - higher SES,GP Chronic Disease Management Plan,10.3,24.21,"$2,617 "
2017-18,,1,Major cities - higher SES,Major cities - higher SES,GP Health Assessment,2.68,2.74,$559 
2017-18,,1,Major cities - higher SES,Major cities - higher SES,GP Mental Health,7.97,13.4,"$1,111 "
2017-18,,1,Major cities - higher SES,Major cities - higher SES,GP Multidisciplinary Case Conference,0.2,0.34,$38 
2017-18,,1,Major cities - higher SES,Major cities - higher SES,GP subtotal - Enhanced Primary Care,17.97,41.15,"$4,382 "
2017-18,,1,Major cities - higher SES,Major cities - higher SES,Medication Management Review (domiciliary),0.16,0.17,$26 
2017-18,,1,Major cities - higher SES,Major cities - higher SES,Medication Management Review (residential),0.29,0.29,$31 
2017-18,,1,Major cities - higher SES,Major cities - higher SES,GP Acupuncture,0.31,2.13,$108 
2017-18,,1,Major cities - higher SES,Major cities - higher SES,GP Long (Level C),35.48,75.17,"$5,518 "
2017-18,,1,Major cities - higher SES,Major cities - higher SES,GP Focussed Psychological Strategies and Family Group Therapy,0.09,0.28,$39 
2017-18,,1,Major cities - higher SES,Major cities - higher SES,GP Pregnancy Support Counselling,0.04,0.05,$4 
2017-18,,1,Major cities - higher SES,Major cities - higher SES,GP Prolonged - Imminent danger of death,0.05,0.05,$14 
2017-18,,1,Major cities - higher SES,Major cities - higher SES,GP Prolonged (Level D),5.4,8.58,$955 
2017-18,,1,Major cities - higher SES,Major cities - higher SES,GP Short (Level A),7.15,10.39,$188 
2017-18,,1,Major cities - higher SES,Major cities - higher SES,GP Standard (Level B),76.39,334.46,"$12,814 "
2017-18,,1,Major cities - higher SES,Major cities - higher SES,GP subtotal - Other,80.93,444.39,"$20,031 "
2017-18,,1,Major cities - higher SES,Major cities - higher SES,GP Telehealth (patient-end),0,0.01,$1 
2017-18,,1,Major cities - higher SES,Major cities - higher SES,Other Non-referred Medical Practitioner,6.67,13.26,$392 
2017-18,,1,Major cities - higher SES,Major cities - higher SES,Asthma Cycle of Care PIP,0.2,0.2,$12 
2017-18,,1,Major cities - higher SES,Major cities - higher SES,Cervical Smear PIP,0.24,0.24,$15 
2017-18,,1,Major cities - higher SES,Major cities - higher SES,Diabetes Mellitus Annual Cycle of Care PIP,0.56,0.57,$34 
2017-18,,1,Major cities - higher SES,Major cities - higher SES,GP subtotal - PIP,1,1.01,$61 
2017-18,,1,Major cities - higher SES,Major cities - higher SES,GP attendances (total),74.15,362.12,"$17,190 "
2017-18,,1,Major cities - higher SES,Major cities - higher SES,GP attendances (total),76.33,414.25,"$20,715 "
2017-18,,1,Major cities - higher SES,Major cities - higher SES,GP attendances (total),91.67,566.9,"$29,165 "
2017-18,,1,Major cities - higher SES,Major cities - higher SES,GP attendances (total),100,"1,097.16","$61,306 "
2017-18,,1,Major cities - higher SES,Major cities - higher SES,GP attendances (total),82.78,527.32,"$27,157 "
2017-18,,1,Major cities - higher SES,Major cities - higher SES,GP attendances (total),86.19,595.71,"$31,037 "
2017-18,,1,Major cities - higher SES,Major cities - higher SES,GP attendances (total),79.27,456.71,"$23,151 "
2017-18,,1,Major cities - higher SES,Major cities - higher SES,Midwifery,0.04,0.2,$15 
2017-18,,1,Major cities - higher SES,Major cities - higher SES,Nurse Practitioners,0.52,1.42,$45 
2017-18,,1,Major cities - higher SES,Major cities - higher SES,Practice Nurse/Aboriginal Health Worker,2.54,4.39,$55 
2017-18,,1,Major cities - higher SES,Major cities - higher SES,Nursing and Aboriginal Health Workers (total),0.82,1.27,$30 
2017-18,,1,Major cities - higher SES,Major cities - higher SES,Nursing and Aboriginal Health Workers (total),1.58,2.81,$85 
2017-18,,1,Major cities - higher SES,Major cities - higher SES,Nursing and Aboriginal Health Workers (total),3.54,5.73,$88 
2017-18,,1,Major cities - higher SES,Major cities - higher SES,Nursing and Aboriginal Health Workers (total),10.97,24.73,$418 
2017-18,,1,Major cities - higher SES,Major cities - higher SES,Nursing and Aboriginal Health Workers (total),3.09,6.02,$114 
2017-18,,1,Major cities - higher SES,Major cities - higher SES,Nursing and Aboriginal Health Workers (total),3.44,6.88,$142 
2017-18,,1,Major cities - higher SES,Major cities - higher SES,Nursing and Aboriginal Health Workers (total),2.72,5.12,$85 
2017-18,,1,Major cities - higher SES,Major cities - higher SES,Early Intervention Services for Children,0.03,0.03,$8 
2017-18,,1,Major cities - higher SES,Major cities - higher SES,Psychiatry,2.06,12.44,"$2,192 "
2017-18,,1,Major cities - higher SES,Major cities - higher SES,Specialist attendances (total),20.36,50.13,"$5,436 "
2017-18,,1,Major cities - higher SES,Major cities - higher SES,Specialist attendances (total),24.25,67.27,"$6,590 "
2017-18,,1,Major cities - higher SES,Major cities - higher SES,Specialist attendances (total),43.74,139.66,"$12,459 "
2017-18,,1,Major cities - higher SES,Major cities - higher SES,Specialist attendances (total),71.43,315.13,"$26,578 "
2017-18,,1,Major cities - higher SES,Major cities - higher SES,Specialist attendances (total),34.07,112.85,"$10,344 "
2017-18,,1,Major cities - higher SES,Major cities - higher SES,Specialist attendances (total),37.03,124.68,"$11,461 "
2017-18,,1,Major cities - higher SES,Major cities - higher SES,Specialist attendances (total),31.02,100.63,"$9,189 "
2017-18,NSW,10102,Queanbeyan,Major cities - higher SES,Allied Health subtotal - Mental Health Care,4.31,18.9,"$2,051 "
2017-18,NSW,10102,Queanbeyan,Major cities - higher SES,Clinical Psychologist,2,8.77,1125
2017-18,NSW,10102,Queanbeyan,Major cities - higher SES,Other Allied Mental Health,0.18,0.66,$54 
2017-18,NSW,10102,Queanbeyan,Major cities - higher SES,Other Psychologist,2.35,9.47,$871 
2017-18,NSW,10102,Queanbeyan,Major cities - higher SES,Allied Health subtotal - Optometry,26.56,33.99,"$1,605 "
2017-18,NSW,10102,Queanbeyan,Major cities - higher SES,Allied Health subtotal - Other,2.8,7.15,$384 
2017-18,NSW,10102,Queanbeyan,Major cities - higher SES,Audiology,0.07,0.15,$5 
2017-18,NSW,10102,Queanbeyan,Major cities - higher SES,Diabetes Education,0.3,0.5,$27 
2017-18,NSW,10102,Queanbeyan,Major cities - higher SES,Dietetics,0.5,0.74,$41 
2017-18,NSW,10102,Queanbeyan,Major cities - higher SES,Occupational Therapy,0.06,0.14,$8 
2017-18,NSW,10102,Queanbeyan,Major cities - higher SES,Other Allied Health,NP,NP,NP
2017-18,NSW,10102,Queanbeyan,Major cities - higher SES,Podiatry,2.08,5.38,$288 
2017-18,NSW,10102,Queanbeyan,Major cities - higher SES,Speech Pathology,NP,NP,NP
2017-18,NSW,10102,Queanbeyan,Major cities - higher SES,Allied Health subtotal - Physical Health Care,1.62,5.01,$266 
2017-18,NSW,10102,Queanbeyan,Major cities - higher SES,Chiropractic Services,0.12,0.38,$20 
2017-18,NSW,10102,Queanbeyan,Major cities - higher SES,Exercise Physiology,0.46,1.09,$53 
2017-18,NSW,10102,Queanbeyan,Major cities - higher SES,Osteopathy,0.06,0.16,$9 
2017-18,NSW,10102,Queanbeyan,Major cities - higher SES,Physiotherapy,1.09,3.38,$184 
2017-18,NSW,10102,Queanbeyan,Major cities - higher SES,Allied Health attendances (total),21.47,45.52,"$3,155 "
2017-18,NSW,10102,Queanbeyan,Major cities - higher SES,Allied Health attendances (total),23.66,51.36,"$3,954 "
2017-18,NSW,10102,Queanbeyan,Major cities - higher SES,Allied Health attendances (total),38.17,72.42,"$4,660 "
2017-18,NSW,10102,Queanbeyan,Major cities - higher SES,Allied Health attendances (total),56.66,130.97,"$7,330 "
2017-18,NSW,10102,Queanbeyan,Major cities - higher SES,Allied Health attendances (total),31.03,65.05,"$4,306 "
2017-18,NSW,10102,Queanbeyan,Major cities - higher SES,Allied Health attendances (total),36.44,80.07,"$5,420 "
2017-18,NSW,10102,Queanbeyan,Major cities - higher SES,Allied Health attendances (total),25.72,50.28,"$3,210 "
2017-18,NSW,10102,Queanbeyan,Major cities - higher SES,Diagnostic Imaging (total),19.66,33.81,"$3,186 "
2017-18,NSW,10102,Queanbeyan,Major cities - higher SES,Diagnostic Imaging (total),31.76,70.83,"$8,242 "
2017-18,NSW,10102,Queanbeyan,Major cities - higher SES,Diagnostic Imaging (total),38.13,94.44,"$13,774 "
2017-18,NSW,10102,Queanbeyan,Major cities - higher SES,Diagnostic Imaging (total),58.45,176.41,"$28,394 "
2017-18,NSW,10102,Queanbeyan,Major cities - higher SES,Diagnostic Imaging (total),32.91,78.41,"$10,620 "
2017-18,NSW,10102,Queanbeyan,Major cities - higher SES,Diagnostic Imaging (total),38.68,97.97,"$12,415 "
2017-18,NSW,10102,Queanbeyan,Major cities - higher SES,Diagnostic Imaging (total),27.24,59.19,"$8,855 "
2017-18,NSW,10102,Queanbeyan,Major cities - higher SES,GP After-hours (non-urgent),12.73,19.34,"$1,091 "
2017-18,NSW,10102,Queanbeyan,Major cities - higher SES,GP After-hours (urgent),1.24,1.52,$193 
2017-18,NSW,10102,Queanbeyan,Major cities - higher SES,GP subtotal - After-hours,13.53,20.85,"$1,285 "
2017-18,NSW,10102,Queanbeyan,Major cities - higher SES,GP Chronic Disease Management Plan,9,21.02,"$2,210 "
2017-18,NSW,10102,Queanbeyan,Major cities - higher SES,GP Health Assessment,3.19,3.24,$666 
2017-18,NSW,10102,Queanbeyan,Major cities - higher SES,GP Mental Health,7.26,11.05,$937 
2017-18,NSW,10102,Queanbeyan,Major cities - higher SES,GP Multidisciplinary Case Conference,0.2,0.26,$32 
2017-18,NSW,10102,Queanbeyan,Major cities - higher SES,GP subtotal - Enhanced Primary Care,16.87,35.86,"$3,881 "
2017-18,NSW,10102,Queanbeyan,Major cities - higher SES,Medication Management Review (domiciliary),0.11,0.11,$17 
2017-18,NSW,10102,Queanbeyan,Major cities - higher SES,Medication Management Review (residential),0.18,0.18,$19 
2017-18,NSW,10102,Queanbeyan,Major cities - higher SES,GP Acupuncture,0.06,0.25,$11 
2017-18,NSW,10102,Queanbeyan,Major cities - higher SES,GP Long (Level C),33.8,70.61,"$5,127 "
2017-18,NSW,10102,Queanbeyan,Major cities - higher SES,GP Focussed Psychological Strategies and Family Group Therapy,0.02,0.04,$6 
2017-18,NSW,10102,Queanbeyan,Major cities - higher SES,GP Pregnancy Support Counselling,NP,NP,NP
2017-18,NSW,10102,Queanbeyan,Major cities - higher SES,GP Prolonged - Imminent danger of death,0.04,0.04,$9 
2017-18,NSW,10102,Queanbeyan,Major cities - higher SES,GP Prolonged (Level D),4.53,6.75,$740 
2017-18,NSW,10102,Queanbeyan,Major cities - higher SES,GP Short (Level A),7.92,10.35,$185 
2017-18,NSW,10102,Queanbeyan,Major cities - higher SES,GP Standard (Level B),78.8,337.87,"$12,797 "
2017-18,NSW,10102,Queanbeyan,Major cities - higher SES,GP subtotal - Other,82.4,435.17,"$19,123 "
2017-18,NSW,10102,Queanbeyan,Major cities - higher SES,GP Telehealth (patient-end),NP,NP,NP
2017-18,NSW,10102,Queanbeyan,Major cities - higher SES,Other Non-referred Medical Practitioner,5.18,9.2,$244 
2017-18,NSW,10102,Queanbeyan,Major cities - higher SES,Asthma Cycle of Care PIP,0.31,0.31,$14 
2017-18,NSW,10102,Queanbeyan,Major cities - higher SES,Cervical Smear PIP,0.24,0.24,$13 
2017-18,NSW,10102,Queanbeyan,Major cities - higher SES,Diabetes Mellitus Annual Cycle of Care PIP,0.77,0.77,$45 
2017-18,NSW,10102,Queanbeyan,Major cities - higher SES,GP subtotal - PIP,1.3,1.32,$72 
2017-18,NSW,10102,Queanbeyan,Major cities - higher SES,GP attendances (total),81.15,364.24,"$16,542 "
2017-18,NSW,10102,Queanbeyan,Major cities - higher SES,GP attendances (total),79.47,435.48,"$21,002 "
2017-18,NSW,10102,Queanbeyan,Major cities - higher SES,GP attendances (total),83.92,487.7,"$24,162 "
2017-18,NSW,10102,Queanbeyan,Major cities - higher SES,GP attendances (total),99.5,979.01,"$53,179 "
2017-18,NSW,10102,Queanbeyan,Major cities - higher SES,GP attendances (total),83.68,493.2,"$24,361 "
2017-18,NSW,10102,Queanbeyan,Major cities - higher SES,GP attendances (total),88.9,577.2,"$28,659 "
2017-18,NSW,10102,Queanbeyan,Major cities - higher SES,GP attendances (total),78.55,410.63,"$20,136 "
2017-18,NSW,10102,Queanbeyan,Major cities - higher SES,Midwifery,NP,NP,NP
2017-18,NSW,10102,Queanbeyan,Major cities - higher SES,Nurse Practitioners,NP,NP,NP
2017-18,NSW,10102,Queanbeyan,Major cities - higher SES,Practice Nurse/Aboriginal Health Worker,2.1,3.31,$41 
2017-18,NSW,10102,Queanbeyan,Major cities - higher SES,Nursing and Aboriginal Health Workers (total),0.65,0.79,$18 
2017-18,NSW,10102,Queanbeyan,Major cities - higher SES,Nursing and Aboriginal Health Workers (total),1.68,2.73,$99 
2017-18,NSW,10102,Queanbeyan,Major cities - higher SES,Nursing and Aboriginal Health Workers (total),3.37,4.92,$83 
2017-18,NSW,10102,Queanbeyan,Major cities - higher SES,Nursing and Aboriginal Health Workers (total),10.54,22.03,$425 
2017-18,NSW,10102,Queanbeyan,Major cities - higher SES,Nursing and Aboriginal Health Workers (total),2.9,5.06,$108 
2017-18,NSW,10102,Queanbeyan,Major cities - higher SES,Nursing and Aboriginal Health Workers (total),3.31,5.73,$134 
2017-18,NSW,10102,Queanbeyan,Major cities - higher SES,Nursing and Aboriginal Health Workers (total),2.5,4.41,$83 
2017-18,NSW,10102,Queanbeyan,Major cities - higher SES,Early Intervention Services for Children,NP,NP,NP
2017-18,NSW,10102,Queanbeyan,Major cities - higher SES,Psychiatry,0.83,3.18,$584 
2017-18,NSW,10102,Queanbeyan,Major cities - higher SES,Specialist attendances (total),16.29,34.29,"$3,325 "
2017-18,NSW,10102,Queanbeyan,Major cities - higher SES,Specialist attendances (total),20.27,48.73,"$3,975 "
2017-18,NSW,10102,Queanbeyan,Major cities - higher SES,Specialist attendances (total),30.1,77.58,"$6,286 "
2017-18,NSW,10102,Queanbeyan,Major cities - higher SES,Specialist attendances (total),54.7,170.79,"$13,614 "
2017-18,NSW,10102,Queanbeyan,Major cities - higher SES,Specialist attendances (total),25.92,67,"$5,584 "
2017-18,NSW,10102,Queanbeyan,Major cities - higher SES,Specialist attendances (total),28.9,76.23,"$6,291 "
2017-18,NSW,10102,Queanbeyan,Major cities - higher SES,Specialist attendances (total),23,57.92,"$4,888 "
2017-18,NSW,10103,Snowy Mountains,Outer regional,Allied Health subtotal - Mental Health Care,2.59,10.01,$979 
2017-18,NSW,10103,Snowy Mountains,Outer regional,Clinical Psychologist,0.53,2.14,269
2017-18,NSW,10103,Snowy Mountains,Outer regional,Other Allied Mental Health,0.23,0.72,$54 
2017-18,NSW,10103,Snowy Mountains,Outer regional,Other Psychologist,1.9,7.16,$656 
2017-18,NSW,10103,Snowy Mountains,Outer regional,Allied Health subtotal - Optometry,24.81,30.63,"$1,491 "
2017-18,NSW,10103,Snowy Mountains,Outer regional,Allied Health subtotal - Other,1.97,5.75,$305 
2017-18,NSW,10103,Snowy Mountains,Outer regional,Audiology,0.05,0.14,$6 
2017-18,NSW,10103,Snowy Mountains,Outer regional,Diabetes Education,NP,NP,NP
2017-18,NSW,10103,Snowy Mountains,Outer regional,Dietetics,NP,NP,NP
2017-18,NSW,10103,Snowy Mountains,Outer regional,Occupational Therapy,NP,NP,NP
2017-18,NSW,10103,Snowy Mountains,Outer regional,Other Allied Health,NP,NP,NP
2017-18,NSW,10103,Snowy Mountains,Outer regional,Podiatry,1.79,5.32,$283 
2017-18,NSW,10103,Snowy Mountains,Outer regional,Speech Pathology,NP,NP,NP
2017-18,NSW,10103,Snowy Mountains,Outer regional,Allied Health subtotal - Physical Health Care,1.85,5.94,$308 
2017-18,NSW,10103,Snowy Mountains,Outer regional,Chiropractic Services,NP,NP,NP
2017-18,NSW,10103,Snowy Mountains,Outer regional,Exercise Physiology,0.35,0.96,$41 
2017-18,NSW,10103,Snowy Mountains,Outer regional,Osteopathy,NP,NP,NP
2017-18,NSW,10103,Snowy Mountains,Outer regional,Physiotherapy,1.27,3.91,$211 
2017-18,NSW,10103,Snowy Mountains,Outer regional,Allied Health attendances (total),19.82,34.49,"$2,171 "
2017-18,NSW,10103,Snowy Mountains,Outer regional,Allied Health attendances (total),16.92,33.33,"$2,349 "
2017-18,NSW,10103,Snowy Mountains,Outer regional,Allied Health attendances (total),32.55,53.09,"$3,052 "
2017-18,NSW,10103,Snowy Mountains,Outer regional,Allied Health attendances (total),49.97,102.19,"$5,443 "
2017-18,NSW,10103,Snowy Mountains,Outer regional,Allied Health attendances (total),28.49,52.33,"$3,084 "
2017-18,NSW,10103,Snowy Mountains,Outer regional,Allied Health attendances (total),34.27,64.63,"$3,859 "
2017-18,NSW,10103,Snowy Mountains,Outer regional,Allied Health attendances (total),23.23,41.14,"$2,378 "
2017-18,NSW,10103,Snowy Mountains,Outer regional,Diagnostic Imaging (total),22.28,37.7,"$3,424 "
2017-18,NSW,10103,Snowy Mountains,Outer regional,Diagnostic Imaging (total),30.29,64.47,"$7,217 "
2017-18,NSW,10103,Snowy Mountains,Outer regional,Diagnostic Imaging (total),40.45,97.01,"$13,029 "
